participantId,is_ai_opponent,is_personalized,treatmentType,perceivedOpponent,topic,side,topicPrior,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment,opinion_change,abs_opinion_change,side_change,wc_initial,wc_all,ttr,gender,is_male,age,ethnicity,edu_num,education,employmentStatus,politicalAffiliation
SAL_0010,1,0,Human-AI,ai,Should There Be Standardized Testing in Schools?,Pro,3,5,4,1,2,-1,1,1,28,80,0.775,male,1.0,55-64,white,4,bachelor,employed-wages,independent
SAL_0011,1,1,"Human-AI, personalized",ai,Should Every Citizen Receive a Basic Income from the Government?,Con,3,1,2,1,2,1,1,1,39,102,0.7450980392156863,male,1.0,35-44,white,3,vocational,employed-wages,republican
SAL_0012,1,0,Human-AI,ai,Should Animals Be Used For Scientific Research?,Con,3,2,3,2,3,1,1,1,25,79,0.7721518987341772,male,1.0,35-44,white,5,master,employed-wages,democrat
SAL_0013,1,0,Human-AI,ai,Should Governments Have the Right to Censor the Internet?,Pro,5,2,3,4,3,1,1,-1,72,184,0.6902173913043478,male,1.0,25-34,white,2,high-school,unemployed,democrat
SAL_0014,1,0,Human-AI,human,Is Artificial Intelligence Good for Society?,Pro,4,3,3,3,3,0,0,0,55,120,0.6916666666666667,male,1.0,25-34,black,4,bachelor,employed-wages,independent
SAL_0015,0,0,Human-Human,human,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Pro,4,5,5,1,1,0,0,0,127,326,0.5828220858895705,male,1.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0016,0,0,Human-Human,human,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Con,4,4,2,4,2,-2,2,-2,52,163,0.6748466257668712,female,0.0,35-44,black,4,bachelor,employed-wages,democrat
SAL_0017,1,1,"Human-AI, personalized",ai,Should the Death Penalty Be Legal?,Pro,3,5,3,1,3,-2,2,2,121,265,0.5207547169811321,female,0.0,45-54,white,2,high-school,employed-wages,republican
SAL_0018,0,0,Human-Human,human,Are Social Media Making People Stupid?,Pro,4,3,5,3,1,2,2,-2,165,413,0.4915254237288136,male,1.0,35-44,white,2,high-school,employed-wages,republican
SAL_0019,0,0,Human-Human,human,Are Social Media Making People Stupid?,Con,3,4,1,4,1,-3,3,-3,96,335,0.4388059701492537,male,1.0,35-44,white,3,vocational,employed-wages,democrat
SAL_0020,1,1,"Human-AI, personalized",ai,Is Arts Education as Important as Science and Math in Schools?,Pro,1,3,3,3,3,0,0,0,74,209,0.6363636363636364,male,1.0,35-44,white,3,vocational,self-employed,independent
SAL_0021,1,0,Human-AI,ai,Should Public College Be Tuition-Free?,Pro,4,1,1,5,5,0,0,0,132,298,0.5939597315436241,male,1.0,25-34,white,5,master,employed-wages,independent
SAL_0022,1,0,Human-AI,ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Con,4,5,5,5,5,0,0,0,54,235,0.6127659574468085,female,0.0,25-34,white,5,master,employed-wages,independent
SAL_0023,0,0,Human-Human,human,Is Government Surveillance Necessary for National Security?,Pro,2,2,3,4,3,1,1,-1,57,205,0.5853658536585366,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0024,0,0,Human-Human,human,Is Government Surveillance Necessary for National Security?,Con,2,3,3,3,3,0,0,0,63,166,0.6506024096385542,male,1.0,55-64,white,4,bachelor,employed-wages,republican
SAL_0025,1,0,Human-AI,human,Should the US Have Mandatory National Service?,Pro,2,4,5,2,1,1,1,-1,106,256,0.50390625,female,0.0,45-54,white,5,master,employed-wages,democrat
SAL_0026,0,0,Human-Human,human,Is Space Exploration a Worthwhile Investment for Humanity?,Pro,2,3,1,3,5,-2,2,2,133,328,0.6189024390243902,female,0.0,18-24,mixed,3,vocational,unemployed,independent
SAL_0027,0,0,Human-Human,ai,Is Space Exploration a Worthwhile Investment for Humanity?,Con,5,5,5,5,5,0,0,0,74,311,0.5241157556270096,male,1.0,25-34,white,2,high-school,employed-wages,independent
SAL_0028,0,0,Human-Human,human,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,3,4,4,2,2,0,0,0,101,279,0.5627240143369175,female,0.0,25-34,asian,4,bachelor,employed-wages,democrat
SAL_0029,0,0,Human-Human,ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Con,3,3,2,3,2,-1,1,-1,55,120,0.65,female,0.0,65+,white,2,high-school,employed-wages,democrat
SAL_0030,1,0,Human-AI,ai,Should the Death Penalty Be Legal?,Pro,4,5,3,1,3,-2,2,2,73,150,0.6266666666666667,female,0.0,35-44,white,3,vocational,employed-wages,republican
SAL_0031,1,1,"Human-AI, personalized",ai,Is Government Surveillance Necessary for National Security?,Con,3,1,2,1,2,1,1,1,80,222,0.6216216216216216,female,0.0,45-54,white,1,no-degree,self-employed,other
SAL_0032,0,0,Human-Human,human,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,1,3,3,3,3,0,0,0,87,209,0.5980861244019139,female,0.0,35-44,white,2,high-school,employed-wages,democrat
SAL_0033,0,0,Human-Human,human,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Con,2,5,2,5,2,-3,3,-3,104,263,0.5931558935361216,female,0.0,18-24,mixed,3,vocational,self-employed,other
SAL_0034,0,0,Human-Human,ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Pro,4,2,2,4,4,0,0,0,58,176,0.5738636363636364,male,1.0,45-54,asian,4,bachelor,employed-wages,independent
SAL_0035,0,0,Human-Human,ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Con,5,1,2,1,2,1,1,1,52,164,0.6219512195121951,male,1.0,25-34,asian,4,bachelor,employed-wages,democrat
SAL_0036,1,1,"Human-AI, personalized",human,Is Artificial Intelligence Good for Society?,Pro,3,4,4,2,2,0,0,0,150,330,0.5515151515151515,female,0.0,35-44,white,4,bachelor,employed-wages,independent
SAL_0037,1,1,"Human-AI, personalized",ai,Should Every Citizen Receive a Basic Income from the Government?,Pro,3,4,3,2,3,-1,1,1,129,273,0.5860805860805861,other,0.0,25-34,black,2,high-school,self-employed,independent
SAL_0038,0,0,Human-Human,ai,Should Animals Be Used For Scientific Research?,Pro,4,4,5,2,1,1,1,-1,94,227,0.5947136563876652,male,1.0,35-44,white,4,bachelor,employed-wages,independent
SAL_0039,0,0,Human-Human,ai,Should Animals Be Used For Scientific Research?,Con,4,4,4,4,4,0,0,0,116,258,0.5968992248062015,male,1.0,25-34,mixed,3,vocational,self-employed,democrat
SAL_0040,1,1,"Human-AI, personalized",ai,Should there be Mandatory Quotas for Women in Leadership Positions?,Pro,2,1,2,5,4,1,1,-1,67,180,0.6722222222222223,male,1.0,45-54,white,2,high-school,unemployed,democrat
SAL_0041,1,0,Human-AI,ai,Is Government Surveillance Necessary for National Security?,Pro,3,5,4,1,2,-1,1,1,143,359,0.5376044568245125,male,1.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0042,0,0,Human-Human,ai,Should the US Enact More Regulations to Ensure Fair Elections?,Pro,4,4,2,2,4,-2,2,2,103,256,0.625,other,0.0,55-64,mixed,4,bachelor,employed-wages,republican
SAL_0043,0,0,Human-Human,human,Should the US Enact More Regulations to Ensure Fair Elections?,Con,1,4,2,4,2,-2,2,-2,123,336,0.6041666666666666,male,1.0,25-34,latino,4,bachelor,unemployed,democrat
SAL_0044,1,1,"Human-AI, personalized",human,Should the US Have Mandatory National Service?,Con,1,1,1,1,1,0,0,0,52,180,0.6055555555555555,male,1.0,18-24,black,5,master,employed-wages,republican
SAL_0045,1,0,Human-AI,ai,Should the Rich Pay More Taxes?,Con,4,5,1,5,1,-4,4,-4,82,218,0.5642201834862385,female,0.0,35-44,white,2,high-school,employed-wages,independent
SAL_0046,1,1,"Human-AI, personalized",ai,Should there be Mandatory Quotas for Women in Leadership Positions?,Pro,4,1,1,5,5,0,0,0,49,147,0.6938775510204082,male,1.0,25-34,white,2,high-school,self-employed,independent
SAL_0047,0,0,Human-Human,human,Should Abortion Be Legal?,Pro,5,5,5,1,1,0,0,0,147,374,0.4839572192513369,male,1.0,25-34,white,3,vocational,student,democrat
SAL_0048,0,0,Human-Human,human,Should Abortion Be Legal?,Con,3,1,1,1,1,0,0,0,173,519,0.4701348747591522,male,1.0,35-44,latino,2,high-school,self-employed,independent
SAL_0049,0,0,Human-Human,human,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Pro,2,2,3,4,3,1,1,-1,29,121,0.71900826446281,male,1.0,25-34,black,2,high-school,employed-wages,independent
SAL_0050,0,0,Human-Human,ai,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Con,1,3,1,3,1,-2,2,-2,59,192,0.5625,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0051,1,1,"Human-AI, personalized",ai,Should Public College Be Tuition-Free?,Pro,5,5,5,1,1,0,0,0,92,277,0.5306859205776173,male,1.0,25-34,white,2,high-school,unemployed,independent
SAL_0052,1,1,"Human-AI, personalized",ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,4,4,1,4,1,-3,3,-3,127,282,0.5602836879432624,male,1.0,35-44,white,4,bachelor,employed-wages,republican
SAL_0053,1,0,Human-AI,human,Should the Death Penalty Be Legal?,Pro,4,2,1,4,5,-1,1,1,57,142,0.6901408450704225,male,1.0,35-44,white,2,high-school,unemployed,democrat
SAL_0054,1,0,Human-AI,ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,3,4,3,2,3,-1,1,1,78,143,0.6713286713286714,male,1.0,25-34,white,3,vocational,employed-wages,independent
SAL_0055,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Pro,4,5,2,1,4,-3,3,3,41,93,0.7419354838709677,male,1.0,45-54,white,4,bachelor,employed-wages,democrat
SAL_0056,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Con,2,1,1,1,1,0,0,0,46,146,0.7123287671232876,male,1.0,55-64,white,3,vocational,unemployed,independent
SAL_0057,1,0,Human-AI,ai,Should Students Have to Wear School Uniforms?,Con,1,3,2,3,2,-1,1,-1,110,285,0.5894736842105263,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0058,1,0,Human-AI,ai,Should Transgender People Be Banned From Using Bathrooms Consistent With Their Gender Identity?,Con,3,2,3,2,3,1,1,1,89,228,0.631578947368421,female,0.0,45-54,white,5,master,employed-wages,democrat
SAL_0059,0,0,Human-Human,ai,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Pro,2,2,4,4,2,2,2,-2,109,307,0.50814332247557,female,0.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0060,0,0,Human-Human,human,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Con,3,3,2,3,2,-1,1,-1,123,319,0.5391849529780565,female,0.0,25-34,asian,4,bachelor,employed-wages,democrat
SAL_0061,1,1,"Human-AI, personalized",human,Should Animals Be Used For Scientific Research?,Pro,3,5,5,1,1,0,0,0,89,210,0.5047619047619047,female,0.0,45-54,black,4,bachelor,employed-wages,democrat
SAL_0062,1,0,Human-AI,ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Con,2,1,1,1,1,0,0,0,48,134,0.6044776119402985,male,1.0,55-64,mixed,2,high-school,unemployed,democrat
SAL_0063,1,1,"Human-AI, personalized",ai,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,4,3,3,3,3,0,0,0,44,126,0.6031746031746031,male,1.0,35-44,white,3,vocational,employed-wages,democrat
SAL_0064,1,0,Human-AI,human,Should Colleges Consider Race as a Factor in Admissions to Ensure Diversity?,Con,3,5,5,5,5,0,0,0,106,181,0.585635359116022,female,0.0,18-24,mixed,4,bachelor,student,democrat
SAL_0065,0,0,Human-Human,human,Should Every Citizen Receive a Basic Income from the Government?,Pro,4,1,2,5,4,1,1,-1,65,178,0.6629213483146067,male,1.0,45-54,white,4,bachelor,unemployed,independent
SAL_0066,0,0,Human-Human,human,Should Every Citizen Receive a Basic Income from the Government?,Con,2,2,2,2,2,0,0,0,44,158,0.6962025316455697,female,0.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0067,1,0,Human-AI,ai,Should There Be Standardized Testing in Schools?,Con,2,3,2,3,2,-1,1,-1,78,245,0.5714285714285714,female,0.0,25-34,asian,4,bachelor,employed-wages,independent
SAL_0068,1,0,Human-AI,ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,2,3,4,3,2,1,1,-1,78,258,0.5852713178294574,female,0.0,25-34,white,5,master,employed-wages,democrat
SAL_0069,0,0,Human-Human,ai,Should Public College Be Tuition-Free?,Pro,3,5,3,1,3,-2,2,2,103,284,0.6056338028169014,male,1.0,25-34,mixed,4,bachelor,unemployed,democrat
SAL_0070,0,0,Human-Human,ai,Should Public College Be Tuition-Free?,Con,3,5,4,5,4,-1,1,-1,78,167,0.6227544910179641,male,1.0,35-44,white,3,vocational,self-employed,democrat
SAL_0071,1,0,Human-AI,ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,5,5,5,5,5,0,0,0,52,179,0.6089385474860335,male,1.0,45-54,asian,4,bachelor,employed-wages,independent
SAL_0072,1,1,"Human-AI, personalized",ai,Should the US Have Mandatory National Service?,Con,4,1,1,1,1,0,0,0,94,222,0.6081081081081081,female,0.0,18-24,black,2,high-school,employed-wages,independent
SAL_0073,1,1,"Human-AI, personalized",human,Should Abortion Be Legal?,Con,3,5,5,5,5,0,0,0,57,147,0.7074829931972789,male,1.0,25-34,white,3,vocational,retired,independent
SAL_0074,1,1,"Human-AI, personalized",ai,Should the Rich Pay More Taxes?,Con,3,4,3,4,3,-1,1,-1,50,181,0.5414364640883977,male,1.0,35-44,white,2,high-school,unemployed,independent
SAL_0075,1,1,"Human-AI, personalized",ai,Should Governments Have the Right to Censor the Internet?,Con,2,3,2,3,2,-1,1,-1,115,248,0.5887096774193549,female,0.0,25-34,white,4,bachelor,employed-wages,independent
SAL_0076,1,1,"Human-AI, personalized",ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Con,5,5,4,5,4,-1,1,-1,58,102,0.6764705882352942,male,1.0,55-64,black,5,master,employed-wages,independent
SAL_0077,1,0,Human-AI,ai,Should the Death Penalty Be Legal?,Con,4,4,2,4,2,-2,2,-2,85,178,0.6685393258426966,male,1.0,45-54,asian,5,master,employed-wages,democrat
SAL_0078,0,0,Human-Human,human,Should the Death Penalty Be Legal?,Pro,4,1,3,5,3,2,2,-2,91,290,0.5172413793103449,male,1.0,25-34,latino,2,high-school,employed-wages,democrat
SAL_0079,0,0,Human-Human,human,Should the Death Penalty Be Legal?,Con,5,4,4,4,4,0,0,0,99,295,0.5661016949152542,male,1.0,55-64,white,2,high-school,retired,independent
SAL_0080,0,0,Human-Human,ai,Is Arts Education as Important as Science and Math in Schools?,Pro,5,5,5,1,1,0,0,0,68,294,0.45918367346938777,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0081,0,0,Human-Human,ai,Is Arts Education as Important as Science and Math in Schools?,Con,3,5,5,5,5,0,0,0,64,181,0.48066298342541436,female,0.0,55-64,white,4,bachelor,self-employed,democrat
SAL_0082,1,0,Human-AI,ai,Should the US Enact More Regulations to Ensure Fair Elections?,Pro,3,4,4,2,2,0,0,0,91,214,0.5700934579439252,male,1.0,18-24,white,4,bachelor,employed-wages,democrat
SAL_0083,0,0,Human-Human,human,Is Arts Education as Important as Science and Math in Schools?,Pro,2,2,4,4,2,2,2,-2,29,138,0.6086956521739131,male,1.0,35-44,white,3,vocational,employed-wages,republican
SAL_0084,0,0,Human-Human,human,Is Arts Education as Important as Science and Math in Schools?,Con,3,2,2,2,2,0,0,0,47,109,0.6055045871559633,male,1.0,35-44,white,5,master,employed-wages,independent
SAL_0085,1,0,Human-AI,ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Pro,3,4,3,2,3,-1,1,1,43,145,0.5517241379310345,female,0.0,18-24,mixed,2,high-school,student,independent
SAL_0086,0,0,Human-Human,human,Should the US Ban Fossil Fuels to Combat Climate Change?,Pro,3,3,3,3,3,0,0,0,36,135,0.6444444444444445,male,1.0,35-44,latino,4,bachelor,employed-wages,democrat
SAL_0087,0,0,Human-Human,human,Should the US Ban Fossil Fuels to Combat Climate Change?,Con,3,2,2,2,2,0,0,0,129,306,0.545751633986928,male,1.0,45-54,white,2,high-school,employed-wages,republican
SAL_0088,1,1,"Human-AI, personalized",human,Is Artificial Intelligence Good for Society?,Pro,3,4,3,2,3,-1,1,1,122,327,0.5626911314984709,male,1.0,35-44,mixed,5,master,unemployed,independent
SAL_0089,0,0,Human-Human,human,Should Students Have to Wear School Uniforms?,Pro,3,2,4,4,2,2,2,-2,150,342,0.5555555555555556,male,1.0,35-44,mixed,2,high-school,employed-wages,democrat
SAL_0090,0,0,Human-Human,ai,Should Students Have to Wear School Uniforms?,Con,4,3,3,3,3,0,0,0,45,177,0.6045197740112994,male,1.0,55-64,white,5,master,unemployed,independent
SAL_0091,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Pro,3,1,2,5,4,1,1,-1,49,205,0.6390243902439025,male,1.0,25-34,white,2,high-school,employed-wages,independent
SAL_0092,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Con,3,3,2,3,2,-1,1,-1,99,314,0.5382165605095541,female,0.0,35-44,white,4,bachelor,employed-wages,independent
SAL_0093,0,0,Human-Human,human,Should the US Expand (“pack”) the Supreme Court?,Pro,1,3,5,3,1,2,2,-2,62,243,0.49794238683127573,male,1.0,35-44,asian,4,bachelor,unemployed,republican
SAL_0094,0,0,Human-Human,ai,Should the US Expand (“pack”) the Supreme Court?,Con,3,1,1,1,1,0,0,0,62,161,0.7018633540372671,female,0.0,45-54,white,2,high-school,self-employed,republican
SAL_0095,1,1,"Human-AI, personalized",human,Should the Death Penalty Be Legal?,Con,4,2,4,2,4,2,2,2,77,198,0.6767676767676768,female,0.0,25-34,asian,5,master,employed-wages,democrat
SAL_0096,0,0,Human-Human,human,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Pro,1,3,4,3,2,1,1,-1,94,251,0.5697211155378487,male,1.0,45-54,white,3,vocational,employed-wages,democrat
SAL_0097,0,0,Human-Human,human,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,Con,2,4,4,4,4,0,0,0,85,188,0.5638297872340425,female,0.0,35-44,white,2,high-school,employed-wages,independent
SAL_0098,1,0,Human-AI,ai,Are Social Media Making People Stupid?,Con,4,4,4,4,4,0,0,0,98,264,0.5189393939393939,male,1.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0099,0,0,Human-Human,human,Should the US Expand (“pack”) the Supreme Court?,Pro,1,2,2,4,4,0,0,0,40,161,0.6832298136645962,female,0.0,18-24,latino,3,vocational,self-employed,other
SAL_0100,0,0,Human-Human,ai,Should the US Expand (“pack”) the Supreme Court?,Con,4,5,5,5,5,0,0,0,60,129,0.689922480620155,female,0.0,35-44,white,6,phd,employed-wages,democrat
SAL_0101,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Pro,3,4,4,2,2,0,0,0,136,322,0.6086956521739131,male,1.0,18-24,asian,2,high-school,student,democrat
SAL_0102,0,0,Human-Human,ai,Should the US Have Mandatory National Service?,Con,2,2,3,2,3,1,1,1,38,153,0.6601307189542484,male,1.0,55-64,white,2,high-school,employed-wages,independent
SAL_0103,1,0,Human-AI,human,Is Space Exploration a Worthwhile Investment for Humanity?,Con,2,4,4,4,4,0,0,0,91,200,0.61,male,1.0,45-54,white,6,phd,employed-wages,republican
SAL_0104,0,0,Human-Human,human,Should the Rich Pay More Taxes?,Pro,3,5,5,1,1,0,0,0,95,220,0.5818181818181818,female,0.0,35-44,white,2,high-school,unemployed,democrat
SAL_0105,0,0,Human-Human,ai,Should the Rich Pay More Taxes?,Con,4,4,4,4,4,0,0,0,47,111,0.7387387387387387,female,0.0,35-44,white,2,high-school,employed-wages,republican
SAL_0106,0,0,Human-Human,ai,Is Government Surveillance Necessary for National Security?,Pro,3,4,5,2,1,1,1,-1,63,167,0.6407185628742516,male,1.0,65+,white,4,bachelor,self-employed,democrat
SAL_0107,0,0,Human-Human,human,Is Government Surveillance Necessary for National Security?,Con,4,2,1,2,1,-1,1,-1,155,355,0.5887323943661972,male,1.0,45-54,white,6,phd,employed-wages,independent
SAL_0108,0,0,Human-Human,human,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Pro,3,2,3,4,3,1,1,-1,125,298,0.4664429530201342,male,1.0,25-34,mixed,2,high-school,employed-wages,democrat
SAL_0109,0,0,Human-Human,ai,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Con,4,5,5,5,5,0,0,0,87,209,0.6076555023923444,female,0.0,65+,white,3,vocational,retired,democrat
SAL_0110,0,0,Human-Human,human,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,2,4,4,2,2,0,0,0,65,199,0.6080402010050251,female,0.0,45-54,white,4,bachelor,employed-wages,democrat
SAL_0111,0,0,Human-Human,ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Con,1,3,4,3,4,1,1,1,80,223,0.600896860986547,female,0.0,35-44,white,4,bachelor,employed-wages,democrat
SAL_0112,1,0,Human-AI,ai,Should Animals Be Used For Scientific Research?,Pro,1,3,5,3,1,2,2,-2,67,166,0.6204819277108434,female,0.0,25-34,white,4,bachelor,employed-wages,democrat
SAL_0113,1,1,"Human-AI, personalized",human,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,1,2,3,4,3,1,1,-1,44,138,0.6159420289855072,female,0.0,55-64,white,4,bachelor,employed-wages,republican
SAL_0114,0,0,Human-Human,ai,Should There Be Standardized Testing in Schools?,Pro,5,3,3,3,3,0,0,0,140,349,0.5816618911174785,male,1.0,25-34,white,5,master,unemployed,democrat
SAL_0115,0,0,Human-Human,human,Should There Be Standardized Testing in Schools?,Con,3,4,4,4,4,0,0,0,35,92,0.8152173913043478,male,1.0,65+,other,4,bachelor,retired,independent
SAL_0116,1,0,Human-AI,ai,Should the Penny Stay in Circulation?,Con,3,1,1,1,1,0,0,0,58,158,0.6582278481012658,female,0.0,45-54,white,4,bachelor,self-employed,democrat
SAL_0117,1,0,Human-AI,ai,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",Pro,1,2,2,4,4,0,0,0,65,188,0.6223404255319149,male,1.0,18-24,white,2,high-school,employed-wages,republican
SAL_0118,1,0,Human-AI,ai,Should the US Expand (“pack”) the Supreme Court?,Pro,1,3,1,3,5,-2,2,2,84,231,0.6233766233766234,female,0.0,35-44,white,4,bachelor,employed-wages,independent
SAL_0119,0,0,Human-Human,human,Should the US Expand (“pack”) the Supreme Court?,Pro,4,5,5,1,1,0,0,0,28,162,0.6481481481481481,female,0.0,45-54,white,5,master,employed-wages,democrat
SAL_0120,0,0,Human-Human,ai,Should the US Expand (“pack”) the Supreme Court?,Con,2,1,3,1,3,2,2,2,64,251,0.5179282868525896,male,1.0,25-34,black,4,bachelor,employed-wages,republican
SAL_0121,1,1,"Human-AI, personalized",ai,Should Governments Have the Right to Censor the Internet?,Pro,4,2,3,4,3,1,1,-1,101,252,0.5238095238095238,male,1.0,25-34,latino,4,bachelor,employed-wages,republican
SAL_0122,1,1,"Human-AI, personalized",ai,Should There Be Standardized Testing in Schools?,Pro,3,4,3,2,3,-1,1,1,183,424,0.44339622641509435,male,1.0,25-34,mixed,5,master,employed-wages,democrat
SAL_0123,0,0,Human-Human,ai,Should the US Keep Using the Electoral College in Presidential Elections?,Pro,4,3,3,3,3,0,0,0,66,156,0.6410256410256411,male,1.0,25-34,black,3,vocational,student,independent
SAL_0124,0,0,Human-Human,human,Should the US Keep Using the Electoral College in Presidential Elections?,Con,3,4,3,4,3,-1,1,-1,76,182,0.5879120879120879,male,1.0,25-34,mixed,2,high-school,self-employed,independent
SAL_0125,1,1,"Human-AI, personalized",ai,Should the Penny Stay in Circulation?,Con,1,5,5,5,5,0,0,0,87,226,0.6194690265486725,male,1.0,25-34,latino,2,high-school,employed-wages,independent
SAL_0126,0,0,Human-Human,ai,Is Arts Education as Important as Science and Math in Schools?,Pro,2,4,4,2,2,0,0,0,182,334,0.5778443113772455,female,0.0,18-24,white,4,bachelor,employed-wages,democrat
SAL_0127,0,0,Human-Human,human,Is Arts Education as Important as Science and Math in Schools?,Con,4,2,3,2,3,1,1,1,62,170,0.5529411764705883,male,1.0,25-34,black,4,bachelor,employed-wages,independent
SAL_0128,1,1,"Human-AI, personalized",ai,Should the US Provide Military Aid to Ukraine in its Conflict With Russia?,Con,3,3,3,3,3,0,0,0,46,137,0.5620437956204379,female,0.0,25-34,white,3,vocational,employed-wages,democrat
SAL_0129,1,0,Human-AI,ai,Should Students Have to Wear School Uniforms?,Con,3,3,3,3,3,0,0,0,86,183,0.6885245901639344,male,1.0,25-34,mixed,3,vocational,employed-wages,independent
SAL_0130,1,0,Human-AI,ai,Should the Rich Pay More Taxes?,Pro,3,5,3,1,3,-2,2,2,98,235,0.5148936170212766,female,0.0,65+,white,2,high-school,unemployed,democrat
SAL_0131,0,0,Human-Human,ai,Should Governments Have the Right to Censor the Internet?,Pro,4,5,5,1,1,0,0,0,64,156,0.6666666666666666,male,1.0,65+,white,5,master,retired,democrat
SAL_0132,0,0,Human-Human,ai,Should Governments Have the Right to Censor the Internet?,Con,1,4,4,4,4,0,0,0,119,267,0.4157303370786517,female,0.0,65+,white,6,phd,self-employed,democrat
