participantId,metadata_participant_id,question_id,question_topic,question_split,candidate_metadata_provenance,candidate_metadata_generative_model_template_name,is_model_mediator,is_human_mediator,is_no_mediator,template_with_critiques,agree_pre,agree_post,belief_change,abs_belief_change,wc_initial,wc_all,view_change,view_movement,own_influence,unwanted_pressure,best_expression
00518298c6__S173970748,00518298c6,S173970748,53,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,3.0,-1.0,1.0,125,125,NO,NO_CHANGE,YES,NO,OWN_OPINION
0057da435b__S173965746,0057da435b,S173965746,11,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,32,32,NO,NO_CHANGE,NO,NO,OWN_OPINION
0057da435b__S173965945,0057da435b,S173965945,38,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,25,25,NO,NO_CHANGE,NO,NO,OWN_OPINION
0057da435b__S173970681,0057da435b,S173970681,26,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,45,45,NO,NO_CHANGE,NO,NO,OWN_OPINION
00596a2ff0__S173962424,00596a2ff0,S173962424,58,IID_TEST,HUMAN_MEDIATOR,,0,1,0,0,7.0,7.0,0.0,0.0,23,23,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
00596a2ff0__S173962495,00596a2ff0,S173962495,78,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_ZERO_SHOT_SINGLE_QUESTION,1,0,0,0,7.0,7.0,0.0,0.0,18,18,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
00596a2ff0__S173967069,00596a2ff0,S173967069,59,IID_TEST,HUMAN_MEDIATOR,,0,1,0,0,2.0,2.0,0.0,0.0,31,31,NO,NO_CHANGE,NO,NO,OWN_OPINION
00596a2ff0__S173970680,00596a2ff0,S173970680,46,IID_TEST,HUMAN_MEDIATOR,,0,1,0,0,7.0,7.0,0.0,0.0,29,29,NO,NO_CHANGE,NO,NO,OWN_OPINION
005d1f8c6e__S173963307,005d1f8c6e,S173963307,7,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,2.0,-3.0,3.0,56,56,NO,NO_CHANGE,NO,NO,OWN_OPINION
005d1f8c6e__S173963348,005d1f8c6e,S173963348,16,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,97,97,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
005d1f8c6e__S173965831,005d1f8c6e,S173965831,88,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,5.0,1.0,1.0,62,62,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
00643db84e__S173962343,00643db84e,S173962343,54,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,6.0,-1.0,1.0,73,73,NO,NO_CHANGE,NO,NO,OWN_OPINION
00643db84e__S173963217,00643db84e,S173963217,39,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,82,82,NO,NO_CHANGE,YES,NO,OWN_OPINION
00643db84e__S173967984,00643db84e,S173967984,16,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,134,134,NO,NO_CHANGE,NO,NO,OWN_OPINION
0075042973__S173965544,0075042973,S173965544,46,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,101,101,NO,NO_CHANGE,YES,NO,OWN_OPINION
0075042973__S173967023,0075042973,S173967023,11,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,69,69,NO,NO_CHANGE,YES,NO,OWN_OPINION
0075042973__S173967206,0075042973,S173967206,78,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,82,82,NO,NO_CHANGE,NO,NO,OWN_OPINION
007b66a2db__S173962460,007b66a2db,S173962460,66,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,101,101,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
007b66a2db__S173965164,007b66a2db,S173965164,67,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,77,77,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
007b66a2db__S173965276,007b66a2db,S173965276,62,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,116,116,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
007e723f08__S173965414,007e723f08,S173965414,104,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,55,55,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
007e723f08__S173967316,007e723f08,S173967316,101,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,61,61,NO,CLOSER_TO_CONSENSUS,NO,NO,OWN_OPINION
0095faf3ad__S173960914,0095faf3ad,S173960914,66,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,41,41,NO,NO_CHANGE,YES,NO,OWN_OPINION
0095faf3ad__S173964776,0095faf3ad,S173964776,88,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,4.0,0.0,0.0,84,84,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
0095faf3ad__S173965698,0095faf3ad,S173965698,12,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,37,37,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
009984c3ef__S173961437,009984c3ef,S173961437,5,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,5.0,3.0,3.0,25,25,NO,NO_CHANGE,YES,YES,OWN_OPINION
009984c3ef__S173963604,009984c3ef,S173963604,20,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,2.0,-2.0,2.0,23,23,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
009984c3ef__S173966940,009984c3ef,S173966940,75,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,5.0,3.0,3.0,22,22,YES,SOME_OTHER_WAY,YES,NO,FINAL_CONSENSUS
00b13588a1__S173962248,00b13588a1,S173962248,71,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,6.0,3.0,3.0,49,49,NO,NO_CHANGE,YES,NO,OWN_OPINION
00b13588a1__S173963812,00b13588a1,S173963812,84,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,5.0,2.0,2.0,45,45,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
00db34c534__S173962225,00db34c534,S173962225,45,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,6.0,7.0,1.0,1.0,76,76,NO,NO_CHANGE,YES,NO,OWN_OPINION
00db34c534__S173962966,00db34c534,S173962966,95,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,7.0,7.0,0.0,0.0,80,80,NO,NO_CHANGE,YES,NO,OWN_OPINION
00db34c534__S173969264,00db34c534,S173969264,68,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,7.0,7.0,0.0,0.0,84,84,NO,NO_CHANGE,YES,NO,OWN_OPINION
00ec693f85__S173965814,00ec693f85,S173965814,93,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,1.0,-2.0,2.0,38,38,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
00ec693f85__S173969675,00ec693f85,S173969675,51,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,49,49,NO,CLOSER_TO_CONSENSUS,YES,YES,FINAL_CONSENSUS
0101953fb5__S173965139,0101953fb5,S173965139,47,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,7.0,3.0,3.0,20,20,NO,NO_CHANGE,NO,NO,OWN_OPINION
010b69f03e__S173961424,010b69f03e,S173961424,49,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,44,44,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
010b69f03e__S173961522,010b69f03e,S173961522,4,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,65,65,NO,NO_CHANGE,NO,NO,OWN_OPINION
010b69f03e__S173961597,010b69f03e,S173961597,12,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,83,83,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
01168972c9__S173966760,01168972c9,S173966760,6,TRAIN,MODEL_MEDIATOR,CITIZEN_JURY,1,0,0,0,6.0,7.0,1.0,1.0,75,75,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
01168972c9__S173967507,01168972c9,S173967507,19,TRAIN,MODEL_MEDIATOR,CITIZEN_JURY,1,0,0,0,6.0,5.0,-1.0,1.0,71,71,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
01168972c9__S173969345,01168972c9,S173969345,78,TRAIN,MODEL_MEDIATOR,CITIZEN_JURY,1,0,0,0,7.0,7.0,0.0,0.0,36,36,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
011c3212ed__S173962152,011c3212ed,S173962152,44,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,5.0,3.0,3.0,35,35,NO,SOME_OTHER_WAY,NO,NO,OWN_OPINION
011c3212ed__S173969628,011c3212ed,S173969628,72,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,6.0,3.0,3.0,50,50,NO,SOME_OTHER_WAY,YES,NO,FINAL_CONSENSUS
011c8c76d2__S173964033,011c8c76d2,S173964033,95,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,51,51,NO,NO_CHANGE,NO,NO,OWN_OPINION
011c8c76d2__S173964651,011c8c76d2,S173964651,23,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,59,59,NO,NO_CHANGE,YES,NO,OWN_OPINION
011c8c76d2__S173965005,011c8c76d2,S173965005,50,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,2.0,1.0,1.0,68,68,NO,NO_CHANGE,YES,NO,OWN_OPINION
01261eefdb__S173960966,01261eefdb,S173960966,15,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,42,42,NO,NO_CHANGE,NO,NO,OWN_OPINION
01261eefdb__S173969753,01261eefdb,S173969753,67,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,43,43,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
01261eefdb__S173969884,01261eefdb,S173969884,45,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,30,30,NO,NO_CHANGE,NO,NO,OWN_OPINION
0126d72997__S173960419,0126d72997,S173960419,14,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,74,74,NO,NO_CHANGE,YES,NO,OWN_OPINION
0126d72997__S173962199,0126d72997,S173962199,68,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,68,68,NO,NO_CHANGE,YES,NO,OWN_OPINION
0126d72997__S173969954,0126d72997,S173969954,65,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,2.0,-1.0,1.0,60,60,NO,NO_CHANGE,YES,NO,OWN_OPINION
012f7154c3__S173963308,012f7154c3,S173963308,93,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,5.0,3.0,3.0,67,67,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
012f7154c3__S173963614,012f7154c3,S173963614,69,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,70,70,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
012f7154c3__S173966974,012f7154c3,S173966974,55,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,2.0,-3.0,3.0,62,62,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
0130f5dd49__S173961811,0130f5dd49,S173961811,90,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,6.0,6.0,0.0,0.0,66,66,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
0130f5dd49__S173968236,0130f5dd49,S173968236,29,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,7.0,1.0,-6.0,6.0,32,32,NO,NO_CHANGE,YES,NO,OWN_OPINION
0130f5dd49__S173970760,0130f5dd49,S173970760,81,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,2.0,2.0,0.0,0.0,50,50,NO,CLOSER_TO_CONSENSUS,YES,NO,OWN_OPINION
013593b138__S173963485,013593b138,S173963485,29,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,5.0,1.0,1.0,132,132,NO,NO_CHANGE,YES,NO,OWN_OPINION
013593b138__S173964144,013593b138,S173964144,60,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,63,63,YES,CLOSER_TO_CONSENSUS,NO,NO,FINAL_CONSENSUS
013593b138__S173965592,013593b138,S173965592,47,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,2.0,-2.0,2.0,96,96,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
014276af33__S173960988,014276af33,S173960988,37,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,4.0,0.0,0.0,32,32,NO,NO_CHANGE,YES,NO,OWN_OPINION
014276af33__S173961092,014276af33,S173961092,41,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,50,50,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
014276af33__S173970241,014276af33,S173970241,54,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,38,38,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
0155f23d7a__S173963001,0155f23d7a,S173963001,51,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,31,31,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
0155f23d7a__S173963822,0155f23d7a,S173963822,13,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,41,41,YES,NO_CHANGE,NO,NO,OWN_OPINION
0155f23d7a__S173966317,0155f23d7a,S173966317,87,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,26,26,NO,NO_CHANGE,NO,NO,OWN_OPINION
0157c52647__S173960550,0157c52647,S173960550,86,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,94,94,NO,SOME_OTHER_WAY,YES,NO,FINAL_CONSENSUS
0157c52647__S173962510,0157c52647,S173962510,81,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,83,83,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
0157c52647__S173964406,0157c52647,S173964406,64,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,105,105,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
016a29736e__S173961361,016a29736e,S173961361,27,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,2.0,0.0,0.0,114,114,NO,NO_CHANGE,NO,NO,OWN_OPINION
016a29736e__S173968117,016a29736e,S173968117,3,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,75,75,NO,NO_CHANGE,NO,NO,OWN_OPINION
016a29736e__S173969449,016a29736e,S173969449,98,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,6.0,3.0,3.0,85,85,YES,CLOSER_TO_CONSENSUS,NO,NO,FINAL_CONSENSUS
016a5de9db__S173961515,016a5de9db,S173961515,38,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_ZERO_SHOT_SINGLE_QUESTION,1,0,0,0,5.0,7.0,2.0,2.0,79,79,NO,NO_CHANGE,NO,NO,OWN_OPINION
016a5de9db__S173965592,016a5de9db,S173965592,47,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_ZERO_SHOT_SINGLE_QUESTION,1,0,0,0,4.0,4.0,0.0,0.0,78,78,NO,NO_CHANGE,NO,NO,OWN_OPINION
016a5de9db__S173968825,016a5de9db,S173968825,70,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_ZERO_SHOT_SINGLE_QUESTION,1,0,0,0,5.0,7.0,2.0,2.0,61,61,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
016a5de9db__S173970188,016a5de9db,S173970188,67,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_ZERO_SHOT_SINGLE_QUESTION,1,0,0,0,5.0,4.0,-1.0,1.0,84,84,YES,CLOSER_TO_CONSENSUS,NO,NO,OWN_OPINION
01757c01dc__S173964210,01757c01dc,S173964210,103,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,6.0,7.0,1.0,1.0,112,112,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
01757c01dc__S173965945,01757c01dc,S173965945,38,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,2.0,1.0,-1.0,1.0,110,110,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
01757c01dc__S173967399,01757c01dc,S173967399,68,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,2.0,2.0,0.0,0.0,64,64,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
017b6ce41e__S173967444,017b6ce41e,S173967444,65,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,142,142,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
017b6ce41e__S173968029,017b6ce41e,S173968029,52,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,3.0,2.0,-1.0,1.0,111,111,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
017b6ce41e__S173969478,017b6ce41e,S173969478,73,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,56,56,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
017e321fbf__S173964292,017e321fbf,S173964292,103,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,6.0,4.0,4.0,114,114,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
017e321fbf__S173967750,017e321fbf,S173967750,20,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,119,119,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
017e321fbf__S173970942,017e321fbf,S173970942,32,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP_NO_CRITIQUES,1,0,0,0,2.0,2.0,0.0,0.0,133,133,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
0195e3c1f9__S173960898,0195e3c1f9,S173960898,104,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,3.0,2.0,2.0,72,72,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
